Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s),X (rad/s),Y (rad/s),Z (rad/s),Time (s),X (µT),Y (µT),Z (µT)
1.037702,0.6409671021,9.12667099,0.4584965515,1.060179,-0.06657609344,-0.02448264323,0.3174097538,1.060179,6.076049805,-44.48538208,-14.43862915
1.047693,0.8267308044,9.051976318,0.3393443298,1.07017,-0.1464405656,-0.08295527101,0.2324288338,1.07017,5.881347656,-44.51266479,-14.57852173
1.057683,0.8964857483,9.029073944,0.2930905151,1.08016,-0.2011594623,-0.1371319592,0.1531209499,1.08016,5.695251465,-44.45779419,-14.65115356
1.067674,0.8038284302,9.043444061,0.3098556519,1.090151,-0.2237910032,-0.1575975567,0.07439712435,1.090151,5.723571777,-44.44476318,-14.79876709
1.077664,0.7864645386,9.054371338,0.3844006348,1.100141,-0.2037228048,-0.1343487948,0.002449328778,1.100141,5.779968262,-44.47358704,-14.88217163
1.087655,0.8481362915,9.120982819,0.5625302124,1.110132,-0.1546913385,-0.08905082941,-0.06615449488,1.110132,5.645690918,-44.44422913,-14.85188293
1.097645,0.9662406921,9.140292664,0.8418493652,1.120122,-0.09511692077,-0.03865598887,-0.1211462766,1.120122,5.620483398,-44.54876709,-14.92504883
1.107636,1.093027039,9.162745972,1.093925171,1.130113,-0.03470204398,-0.01427900884,-0.1567112058,1.130113,5.704467773,-44.44744873,-14.77911377
1.117626,1.101858673,9.179211731,1.25079895,1.140103,0.009839821607,-0.05488166958,-0.1700137854,1.140103,5.762023926,-44.37306213,-14.99754333
1.127617,0.9448352051,9.20151535,1.309476929,1.150094,0.01763329469,-0.1000243872,-0.1780341715,1.150094,5.858581543,-44.43463135,-14.91325378
1.137607,0.5885760498,9.282946014,1.354682922,1.160083875,0.005917991512,-0.1287047416,-0.1887967438,1.160083875,5.808105469,-44.46896362,-15.10879517
1.147598,0.1703457642,9.377998352,1.286424866,1.170074875,-0.01205435116,-0.1308163553,-0.2018829882,1.170074875,5.957946777,-44.36044312,-15.00453186
1.157587875,-0.07035369873,9.545200653,1.208586731,1.180064875,-0.02092048898,-0.09695855528,-0.2124275565,1.180064875,6.00390625,-44.37971497,-15.03672791
1.167578875,-0.1794767761,9.670041046,1.071471863,1.190055875,-0.02040782943,-0.07676486671,-0.2091801018,1.190055875,6.129150391,-44.35710144,-15.1421051
1.177568875,-0.2221380615,9.691596222,0.9142987061,1.200045875,-0.03474948928,-0.08158160001,-0.1812749207,1.200045875,6.278320312,-44.23361206,-14.9694519
1.187559875,-0.2429447937,9.755812683,0.8699908447,1.210036875,-0.06232145801,-0.0759498179,-0.1486314833,1.210036875,6.17199707,-44.50306702,-14.93518066
1.197549875,-0.4644841003,9.787846069,0.7473957825,1.220026875,-0.1066880524,-0.05398130789,-0.09966192394,1.220026875,6.312927246,-44.31771851,-15.05848694
1.207540875,-0.7173083496,9.851014709,0.6173162842,1.230017875,-0.1527205259,-0.03067412041,-0.05063712224,1.230017875,6.313476562,-44.15005493,-15.02900696
1.217530875,-0.8164022827,10.00714005,0.5891748047,1.240007875,-0.162840426,0.001497089164,-0.03908442706,1.240007875,6.238037109,-44.19342041,-15.1661377
1.227521875,-1.085093536,10.09485764,0.4209246826,1.249998875,-0.1309093833,0.03584547341,-0.04315080866,1.249998875,6.200927734,-44.20376587,-15.02128601
1.237511875,-1.025218048,10.11761032,0.4704716492,1.259988875,-0.07815155387,0.05565975606,-0.02589070052,1.259988875,6.334777832,-44.14489746,-15.12664795
1.247502875,-0.6789880371,10.07360184,0.7723937988,1.269979875,-0.03286582977,0.07667768747,-0.01275705453,1.269979875,6.362365723,-44.0940094,-15.01742554
1.257492875,-0.5074447632,9.927655334,1.077010345,1.279969875,0.006005096715,0.08224157989,-0.01292968448,1.279969875,6.21697998,-44.12620544,-15.17744446
1.267483875,-0.580941925,9.815239105,1.181193695,1.289960875,0.03121963888,0.06525220722,-0.009437481873,1.289960875,6.194274902,-44.16082764,-15.21374512
1.277473875,-0.4294569397,9.751322021,1.138981476,1.299950875,0.04600971192,0.04013944045,0.0003368087346,1.299950875,6.211242676,-44.02890015,-15.27774048
1.287464875,-0.3531156921,9.716145172,1.124761047,1.309941875,0.04677404091,0.03706322238,0.01170238107,1.309941875,6.337097168,-44.02909851,-15.25808716
1.297454875,-0.3752696228,9.681716766,1.122366028,1.319931875,0.04111788422,0.04288281128,0.02036744542,1.319931875,6.333984375,-44.07394409,-15.19006348
1.307445875,-0.3823049927,9.624236298,1.124910736,1.329922875,0.02827452496,0.04517233372,0.02534409426,1.329922875,6.361206055,-44.06201172,-15.06309509
